,fus-gan,fus-ice,fus-sat,gan-ice,mul-gan,mul-ice,mul-sat,sat-gan,sat-ice,sr-gan,sr-ice,sr-sat,syn-gan,syn-ice,syn-sat,sum
fus-gan,0.6729857819905213,0.0,0.13744075829383887,0.0,0.04028436018957346,0.0,0.023696682464454975,0.1990521327014218,0.0,0.06872037914691943,0.0,0.03317535545023697,0.06635071090047394,0.0,0.14218009478672985,422
fus-ice,0.0,0.3333333333333333,0.47619047619047616,0.0,0.0,0.2857142857142857,0.23809523809523808,0.0,0.5714285714285714,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.19047619047619047,21
fus-sat,0.022754021184778345,0.003923107100823852,0.5170655158885837,0.0,0.003530796390741467,0.001569242840329541,0.15535504119262455,0.02079246763436642,0.003923107100823852,0.003530796390741467,0.00039231071008238524,0.06080816006276971,0.0,0.0,0.34876422126324047,2549
gan-ice,0.0,0.0,0.0,0.5789473684210527,0.05263157894736842,0.05263157894736842,0.0,0.3157894736842105,0.3157894736842105,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0,19
mul-gan,0.17894736842105263,0.0,0.09473684210526316,0.010526315789473684,0.28421052631578947,0.010526315789473684,0.5684210526315789,0.5684210526315789,0.0,0.12631578947368421,0.010526315789473684,0.07368421052631578,0.021052631578947368,0.0,0.08421052631578947,95
mul-ice,0.0,0.04411764705882353,0.029411764705882353,0.007352941176470588,0.007352941176470588,0.27205882352941174,0.7132352941176471,0.0,0.6691176470588235,0.007352941176470588,0.014705882352941176,0.007352941176470588,0.0,0.0,0.007352941176470588,136
mul-sat,0.001192890373374687,0.0005964451866873435,0.0472384587856376,0.0,0.006441608016223309,0.011571036621734462,0.9190027436478587,0.006203029941548372,0.011213169509722056,0.0008350232613622808,0.00011928903733746869,0.012048192771084338,0.0,0.0,0.027675056662292735,8383
sat-gan,0.08163265306122448,0.0,0.05150631681243926,0.0058309037900874635,0.052478134110787174,0.0,0.05053449951409135,0.7026239067055393,0.0058309037900874635,0.1564625850340136,0.0,0.1564625850340136,0.03012633624878523,0.0,0.08843537414965986,1029
sat-ice,0.0,0.0036463081130355514,0.003038590094196293,0.0018231540565177757,0.0,0.027651169857186266,0.028562746885445155,0.0018231540565177757,0.9641446368884837,0.0,0.003342449103615922,0.003342449103615922,0.0,0.00030385900941962927,0.0015192950470981465,3291
sr-gan,0.019849418206707735,0.0,0.006160164271047228,0.0013689253935660506,0.008213552361396304,0.0006844626967830253,0.004791238877481177,0.11019849418206708,0.0,0.8336755646817249,0.0013689253935660506,0.1273100616016427,0.026694045174537988,0.0,0.0054757015742642025,1461
sr-ice,0.0,0.05,0.05,0.1,0.05,0.1,0.05,0.0,0.55,0.1,0.35,0.55,0.0,0.0,0.05,20
sr-sat,0.00784313725490196,0.0005602240896358543,0.08683473389355742,0.0,0.00392156862745098,0.0005602240896358543,0.05658263305322129,0.09019607843137255,0.0061624649859943975,0.10420168067226891,0.0061624649859943975,0.726610644257703,0.0011204481792717086,0.0,0.09467787114845938,1785
syn-gan,0.02196078431372549,0.0,0.0,0.0,0.001568627450980392,0.0,0.0,0.02431372549019608,0.0,0.03058823529411765,0.0,0.001568627450980392,0.9192156862745098,0.0,0.029019607843137254,1275
syn-ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
syn-sat,0.027726432532347505,0.0018484288354898336,0.4108133086876155,0.0,0.0036968576709796672,0.0004621072088724584,0.10720887245841035,0.04205175600739371,0.0023105360443622922,0.0036968576709796672,0.0004621072088724584,0.07809611829944547,0.017097966728280962,0.0004621072088724584,0.48151571164510165,2164
